Study Name,Filename Parts
Barsto Broached,<Study>-<Barrel>-<Bullet>-<Land>
Boxes 1-6,<Study>-<Barrel>-<Bullet>-<Land>
Boxes 1-6 2024,<Study>-<Barrel>-<Bullet>-<Land>
Carney Study,<Study>-<Barrel>-<Bullet>-<Land>
Clones 224,<Study>-<Set>-<Barrel>-<Bullet>-<Land>
Clones 224 2,<Study>-<Set>-<Barrel>-<Bullet>-<Land>
CSAFE Persistence (DCI),<Study>-<Institution>-<Barrel>-<Bullet>-<Land>
CSAFE Persistence (SW),<Study>-<Institution>-<Barrel>-<Bullet>-<Land>
CSAFE Persistence Rescans 2019,<Study>-<Institution>-<Barrel>-<Bullet>-<Land>
CSAFE Persistence Rescans 2020,<Study Year>-<Barrel>-<Group>-<Bullet>-<Land>
CTS Forensic Testing Program,<Study>-<Year>-<Item>-<Bullet>-<Land>
DFSC,<Study>-<Barrel>-<Bullet>-<Land>
Glock GMB BBL,<Study>-<Barrel>-<Bullet>-<Land/Rail>
Hamby 224 Clone,<Study>-<Test Set>-<Barrel>-<Bullet>-<Land>
Hamby 259 Clone Set,<Study>-<Barrel>-<Bullet>-<Land>
Hamby Set 10,<Study>-<Barrel>-<Bullet>-<Land>
Hamby Set 36,<Study>-<Barrel>-<Bullet>-<Land>
Hamby Set 44 Final,<Study>-<Barrel>-<Bullet>-<Land>
Hamby Set 224,<Study>-<Barrel>-<Bullet>-<Land>
Hamby Set 5,<Study>-<Test Set>-<Known/Questioned>-<Bullet>-<Land>
Hamby Set X,<Study>-<Test Set>-<Known/Questioned>-<Bullet>-<Land>
Houston 1,<Study>-<Barrel>-<Bullet>-<Land>
Houston 2023,<Study>-<Barrel>-<Bullet>-<Land>
Houston NIJ,<Study>-<Barrel>-<Bullet>-<Land>
Houston Set Final,<Study>-<Group>-<Kit>-<Barrel>-<Bullet>-<Land>
Houston Set 3,<Study>-<Test>-<Barrel>-<Bullet>-<Land>
Houston Set 3 Redo,<Study>-<Test>-<Barrel>-<Bullet>-<Land>
LAPD,<Study>-<Barrel>-<Bullet>-<Land>
Phoenix Test,<Study>-<Barrel>-<Bullet>-<Land>
SR Scans,<Study>-<Box>-<Bullet>-<Land>
St Louis,<Study>-<Barrel>-<Bullet>-<Land>
Syntech Set,<Study>-<Kit>-<Bullet>-<Land>
Virginia,<Study>-<Barrel>-<Bullet>-<Land>