study,bullet_dir,filename
Houston 1,Barrel A/Bullet 11,Houston 1 - Barrel A - Bullet 11 - Land 1 - Sneox1 - 20x - auto light left image + 20% x10 - threshold 2 - resolution 4 - Mark Mosher.x3p
Houston 1,Barrel A/Bullet 12,Houston 1 - Barrel A - Bullet 12 - Land 1 - Sneox2 - 20x - auto light left image + 20% x10 - threshold 2 - resolution 4 - Marco Yepez.x3p
Houston 1,Barrel A/Bullet 13,Houston 1 - Barrel A - Bullet 13 - Land 1 - Sneox2 - 20x - auto light left image + 20% x10 - threshold 2 - resolution 4 - Marco Yepez.x3p
Houston 1,Barrel B/Bullet 11,Houston 1 - Barrel B - Bullet 11 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Barrel B/Bullet 12,Houston 1 - Barrel B - Bullet 12 - Land 1 - Sneox1 - 20x - auto light left image + 20%x10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Barrel B/Bullet 13,Houston 1 - Barrel B - Bullet 13 - Land 1 - Sneox1 - 20x - auto light left image + 20%x10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Barrel C/Bullet 11,Houston 1 - Barrel C - Bullet 11- Land 1- Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Barrel C/Bullet 12,Houston 1 - Barrel C - Bullet 12- Land 1- Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Barrel C/Bullet 13,Houston 1 - Barrel C - Bullet 13- Land 1- Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Barrel D/Bullet 11,Houston 1 - Barrel D - Bullet 11- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Barrel D/Bullet 12,Houston 1 - Barrel D - Bullet 12- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
Houston 1,Barrel D/Bullet 13,Houston 1 - Barrel D - Bullet 13 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
Houston 1,Barrel E/Bullet 11,Houston 1 - Barrel E - Bullet 11- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Barrel E/Bullet 12,Houston 1 - Barrel E - Bullet 12- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Barrel E/Bullet 13,Houston 1 - Barrel E - Bullet 13- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Random Barrel 1/Bullet 11,Houston 1 - Random Barrel 1 - Bullet 11- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Random Barrel 1/Bullet 12,Houston 1 - Random Barrel 1 - Bullet 12- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Random Barrel 1/Bullet 13,Houston 1 - Random Barrel 1 - Bullet 13 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
Houston 1,Random Barrel 2/Bullet 11,Houston 1 - Random Barrel 2 - Bullet 11- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
Houston 1,Random Barrel 2/Bullet 12,Houston 1 - Random Barrel 2 - Bullet 12 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
Houston 1,Random Barrel 2/Bullet 13,Houston 1 - Random Barrel 2 - Bullet 13 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
Houston 1,Random Barrel 2/Bullet 14,Houston 1 - Random Barrel 2 - Bullet 14 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
Houston 1,Random Barrel 2/Bullet 15,Houston 1 - Random Barrel 2 - Bullet 15 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
Houston 1,Random Barrel 3/Bullet 11,Houston 1 - Random Barrel 3- Bullet 11- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Random Barrel 3/Bullet 12,Houston 1 - Random Barrel 3- Bullet 12- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Random Barrel 3/Bullet 13,Houston 1 - Random Barrel 3- Bullet 13- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Random Barrel 3/Bullet 14,Houston 1 - Random Barrel 3- Bullet 14- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p
Houston 1,Random Barrel 3/Bullet 15,Houston 1 - Random Barrel 3 - Bullet 15 - Land 2 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p
Houston 1,Random Barrel 3/Bullet 16,Houston 1 - Random Barrel 3 - Bullet 16 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p